,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
league,season,team,player,,,,,,,,,,,,,,,
INT-World Cup,2014,Netherlands,Nigel de Jong,Netherlands,MF,29,1984,3.8,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Paul Verhaegh,Netherlands,DF,30,1983,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Robin van Persie,Netherlands,FW,30,1983,6.0,4,,,,,,,,1,1
INT-World Cup,2014,Netherlands,Ron Vlaar,Netherlands,DF,29,1985,7.7,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Stefan de Vrij,Netherlands,DF,22,1992,7.5,1,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Terence Kongolo,Netherlands,DF,20,1994,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Tim Krul,Netherlands,GK,26,1988,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Wesley Sneijder,Netherlands,MF,30,1984,6.5,1,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Ahmed Musa,Nigeria,"FW,MF",21,1992,3.7,2,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Efe Ambrose,Nigeria,DF,25,1988,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Ejike Uzoenyi,Nigeria,"FW,MF",26,1988,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Emmanuel Emenike,Nigeria,FW,27,1987,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Godfrey Oboabona,Nigeria,DF,23,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,John Obi Mikel,Nigeria,MF,27,1987,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Joseph Yobo,Nigeria,DF,33,1980,3.7,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Juwon Oshaniwa,Nigeria,DF,23,1990,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Kenneth Omeruo,Nigeria,DF,20,1993,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Michael Babatunde,Nigeria,MF,21,1992,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Michael Uchebo,Nigeria,FW,,1900,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Ogenyi Onazi,Nigeria,MF,21,1992,3.6,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Peter Odemwingie,Nigeria,FW,32,1981,3.1,1,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Ramon Azeez,Nigeria,MF,21,1992,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Reuben Gabriel,Nigeria,MF,23,1990,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Shola Ameobi,Nigeria,FW,32,1981,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Uche Nwofor,Nigeria,FW,22,1991,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Victor Moses,Nigeria,"FW,MF",23,1990,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Nigeria,Vincent Enyeama,Nigeria,GK,31,1982,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,André Almeida,Portugal,"DF,MF",23,1990,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Beto,Portugal,GK,32,1982,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Bruno Alves,Portugal,DF,32,1981,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Cristiano Ronaldo,Portugal,"FW,MF",29,1985,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Portugal,Eduardo Carvalho,Portugal,GK,31,1982,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Fábio Coentrão,Portugal,DF,26,1988,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Hugo Almeida,Portugal,FW,30,1984,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Hélder Postiga,Portugal,FW,31,1982,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,João Moutinho,Portugal,MF,27,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,João Pereira,Portugal,"DF,MF",30,1984,2.7,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Miguel Veloso,Portugal,MF,28,1986,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Nani,Portugal,"FW,MF",27,1986,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Portugal,Pepe,Portugal,"DF,MF",31,1983,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Raul Meireles,Portugal,MF,31,1983,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Ricardo Costa,Portugal,DF,33,1981,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Rui Patrício,Portugal,GK,26,1988,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Rúben Amorim,Portugal,MF,29,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Silvestre Varela,Portugal,"FW,MF",29,1985,0.6,1,,,,,,,,0,0
INT-World Cup,2014,Portugal,Vieirinha,Portugal,"DF,FW",28,1986,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,William Carvalho,Portugal,MF,22,1992,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Portugal,Éder,Portugal,FW,26,1987,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Alan Dzagoev,Russia,MF,23,1990,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Aleksandr Kerzhakov,Russia,FW,31,1982,1.1,1,,,,,,,,0,0
INT-World Cup,2014,Russia,Aleksandr Kokorin,Russia,"FW,MF",23,1991,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Russia,Aleksandr Samedov,Russia,MF,29,1984,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Aleksei Berezutski,Russia,DF,31,1982,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Aleksei Kozlov,Russia,DF,27,1986,1.7,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Andrey Yeshchenko,Russia,DF,30,1984,1.3,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Denis Glushakov,Russia,MF,27,1987,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Dmitri Kombarov,Russia,"DF,MF",27,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Igor Akinfeev,Russia,GK,28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Igor Denisov,Russia,MF,30,1984,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Maksim Kanunnikov,Russia,"FW,MF",22,1991,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Oleg Shatov,Russia,"FW,MF",23,1990,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Sergei Ignashevich,Russia,DF,34,1979,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Viktor Fayzulin,Russia,MF,28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Russia,Yuri Zhirkov,Russia,"DF,MF",30,1983,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Andrés Iniesta,Spain,MF,30,1984,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Cesc Fàbregas,Spain,"FW,MF",27,1987,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Spain,César Azpilicueta,Spain,"DF,MF",24,1989,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,David Silva,Spain,"FW,MF",28,1986,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Spain,David Villa,Spain,"FW,MF",32,1981,0.6,1,,,,,,,,0,0
INT-World Cup,2014,Spain,Diego Costa,Spain,FW,25,1988,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Fernando Torres,Spain,FW,30,1984,1.6,1,,,,,,,,0,0
INT-World Cup,2014,Spain,Gerard Piqué,Spain,DF,27,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Iker Casillas,Spain,GK,33,1981,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Javi Martínez,Spain,"DF,MF",25,1988,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Jordi Alba,Spain,"DF,MF",25,1989,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Juan Mata,Spain,"FW,MF",26,1988,0.4,1,,,,,,,,0,0
INT-World Cup,2014,Spain,Juanfran,Spain,"DF,MF",29,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Koke,Spain,MF,22,1992,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Pedro,Spain,"FW,MF",26,1987,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Pepe Reina,Spain,GK,31,1982,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Raúl Albiol,Spain,DF,28,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Santi Cazorla,Spain,MF,29,1984,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Sergio Busquets,Spain,MF,25,1988,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Sergio Ramos,Spain,DF,28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Spain,Xabi Alonso,Spain,MF,32,1981,2.1,1,,,,,,,,1,1
INT-World Cup,2014,Spain,Xavi,Spain,MF,34,1980,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Admir Mehmedi,Switzerland,"FW,MF",23,1991,3.7,1,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Blerim Džemaili,Switzerland,MF,28,1986,0.6,1,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Diego Benaglio,Switzerland,GK,30,1983,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Fabian Schär,Switzerland,DF,22,1991,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Gelson Fernandes,Switzerland,MF,27,1986,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Granit Xhaka,Switzerland,MF,21,1992,3.6,1,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Gökhan Inler,Switzerland,MF,29,1984,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Haris Seferović,Switzerland,FW,22,1992,1.6,1,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Johan Djourou,Switzerland,DF,27,1987,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Josip Drmić,Switzerland,FW,21,1992,2.8,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Michael Lang,Switzerland,"DF,MF",23,1991,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Philippe Senderos,Switzerland,DF,29,1985,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Ricardo Rodríguez,Switzerland,"DF,MF",21,1992,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Stephan Lichtsteiner,Switzerland,"DF,MF",30,1984,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Steve von Bergen,Switzerland,DF,31,1983,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Valentin Stocker,Switzerland,MF,25,1989,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Valon Behrami,Switzerland,"DF,MF",29,1985,3.8,0,,,,,,,,0,0
INT-World Cup,2014,Switzerland,Xherdan Shaqiri,Switzerland,"FW,MF",22,1991,4.3,3,,,,,,,,0,0
INT-World Cup,2014,United States,Alejandro Bedoya,United States,"FW,MF",27,1987,3.1,0,,,,,,,,0,0
INT-World Cup,2014,United States,Aron Jóhannsson,United States,"FW,MF",23,1990,0.8,0,,,,,,,,0,0
INT-World Cup,2014,United States,Brad Davis,United States,MF,32,1981,0.6,0,,,,,,,,0,0
INT-World Cup,2014,United States,Chris Wondolowski,United States,FW,31,1983,0.6,0,,,,,,,,0,0
INT-World Cup,2014,United States,Clint Dempsey,United States,"FW,MF",31,1983,4.3,2,,,,,,,,0,0
INT-World Cup,2014,United States,DaMarcus Beasley,United States,"DF,FW",32,1982,4.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,DeAndre Yedlin,United States,"DF,MF",20,1993,1.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,Fabian Johnson,United States,"DF,MF",26,1987,3.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,Geoff Cameron,United States,"DF,MF",28,1985,3.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,Graham Zusi,United States,"DF,FW",27,1986,2.9,0,,,,,,,,0,0
INT-World Cup,2014,United States,Jermaine Jones,United States,MF,32,1981,4.3,1,,,,,,,,0,0
INT-World Cup,2014,United States,John Brooks,United States,DF,21,1993,0.5,1,,,,,,,,0,0
INT-World Cup,2014,United States,Jozy Altidore,United States,FW,24,1989,0.2,0,,,,,,,,0,0
INT-World Cup,2014,United States,Julian Green,United States,"FW,MF",19,1995,0.2,1,,,,,,,,0,0
INT-World Cup,2014,United States,Kyle Beckerman,United States,MF,32,1982,3.0,0,,,,,,,,0,0
INT-World Cup,2014,United States,Matt Besler,United States,DF,27,1987,3.8,0,,,,,,,,0,0
INT-World Cup,2014,United States,Michael Bradley,United States,MF,26,1987,4.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,Omar Gonzalez,United States,DF,25,1988,2.3,0,,,,,,,,0,0
INT-World Cup,2014,United States,Tim Howard,United States,GK,35,1979,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Abel Hernández,Uruguay,FW,23,1990,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Cristhian Stuani,Uruguay,"FW,MF",27,1986,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Cristian Rodríguez,Uruguay,MF,28,1985,3.7,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Diego Forlán,Uruguay,"FW,MF",35,1979,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Diego Godín,Uruguay,DF,28,1986,4.0,1,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Diego Lugano,Uruguay,DF,33,1980,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Edinson Cavani,Uruguay,"FW,MF",27,1987,4.0,1,,,,,,,,1,1
INT-World Cup,2014,Uruguay,Egidio Arévalo,Uruguay,MF,32,1982,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Fernando Muslera,Uruguay,GK,27,1986,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Gastón Ramírez,Uruguay,"FW,MF",23,1990,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Jorge Fucile,Uruguay,DF,29,1984,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,José María Giménez,Uruguay,DF,19,1995,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Luis Suárez,Uruguay,FW,27,1987,2.0,2,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Martín Cáceres,Uruguay,DF,27,1987,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Maxi Pereira,Uruguay,DF,30,1984,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Nicolás Lodeiro,Uruguay,MF,25,1989,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Sebastián Coates,Uruguay,DF,23,1990,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Walter Gargano,Uruguay,MF,29,1984,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Álvaro González,Uruguay,MF,29,1984,2.9,0,,,,,,,,0,0
INT-World Cup,2014,Uruguay,Álvaro Pereira,Uruguay,"DF,MF",28,1985,2.3,0,,,,,,,,0,0
INT-World Cup,2018,Argentina,Cristian Pavón,Argentina,FW,22,1996,1.7,0,1,0,0.0,0.58,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Eduardo Salvio,Argentina,"MF,DF",27,1990,1.6,0,1,0,0.0,0.62,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Enzo Pérez,Argentina,MF,32,1986,2.1,0,1,0,0.0,0.47,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Federico Fazio,Argentina,DF,31,1987,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Franco Armani,Argentina,GK,31,1986,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Gabriel Mercado,Argentina,DF,31,1987,3.0,1,1,1,100.0,0.33,0.33,1.0,1.0,0,0
INT-World Cup,2018,Argentina,Gonzalo Higuaín,Argentina,FW,30,1987,1.5,0,3,2,66.7,2.01,1.34,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Javier Mascherano,Argentina,MF,34,1984,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Lionel Messi,Argentina,"FW,MF",30,1987,4.0,1,18,6,33.3,4.5,1.5,0.06,0.17,0,1
INT-World Cup,2018,Argentina,Lucas Biglia,Argentina,MF,32,1986,0.6,0,2,0,0.0,3.4,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Marcos Acuña,Argentina,MF,26,1991,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Marcos Rojo,Argentina,DF,28,1990,2.5,1,3,1,33.3,1.2,0.4,0.33,1.0,0,0
INT-World Cup,2018,Argentina,Maximiliano Meza,Argentina,"MF,FW",25,1992,2.3,0,3,1,33.3,1.3,0.43,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Nicolás Otamendi,Argentina,DF,30,1988,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Nicolás Tagliafico,Argentina,DF,25,1992,3.9,0,3,0,0.0,0.77,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Paulo Dybala,Argentina,"FW,MF",24,1993,0.3,0,1,0,0.0,3.91,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Sergio Agüero,Argentina,FW,30,1988,2.0,2,6,3,50.0,3.02,1.51,0.33,0.67,0,0
INT-World Cup,2018,Argentina,Willy Caballero,Argentina,GK,36,1981,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Ángel Di María,Argentina,"MF,FW",30,1988,2.6,1,3,1,33.3,1.15,0.38,0.33,1.0,0,0
INT-World Cup,2018,Argentina,Éver Banega,Argentina,MF,29,1988,2.4,0,3,1,33.3,1.24,0.41,0.0,0.0,0,0
INT-World Cup,2018,Australia,Aaron Mooy,Australia,MF,27,1990,3.0,0,3,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Andrew Nabbout,Australia,FW,25,1992,1.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Aziz Behich,Australia,DF,27,1990,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Daniel Arzani,Australia,"FW,MF",19,1999,0.7,0,2,1,50.0,2.86,1.43,0.0,0.0,0,0
INT-World Cup,2018,Australia,Jackson Irvine,Australia,"DF,MF",25,1993,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Josh Risdon,Australia,DF,25,1992,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Mark Milligan,Australia,DF,32,1985,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Mathew Leckie,Australia,"FW,MF",27,1991,3.0,0,9,1,11.1,3.0,0.33,0.0,0.0,0,0
INT-World Cup,2018,Australia,Mathew Ryan,Australia,GK,26,1992,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Mile Jedinak,Australia,MF,33,1984,3.0,2,6,3,50.0,2.0,1.0,0.0,0.0,2,2
INT-World Cup,2018,Australia,Robbie Kruse,Australia,"FW,MF",29,1988,2.3,0,1,0,0.0,0.43,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Tim Cahill,Australia,"FW,MF",38,1979,0.4,0,2,0,0.0,4.74,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Tom Rogić,Australia,MF,25,1992,2.5,0,5,2,40.0,2.02,0.81,0.0,0.0,0,0
INT-World Cup,2018,Australia,Tomi Juric,Australia,FW,26,1991,1.1,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Trent Sainsbury,Australia,DF,26,1992,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0
INT-World Cup,2018,Belgium,Adnan Januzaj,Belgium,FW,23,1995,0.9,1,4,1,25.0,4.24,1.06,0.25,1.0,0,0
INT-World Cup,2018,Belgium,Axel Witsel,Belgium,MF,29,1989,6.0,0,6,1,16.7,1.0,0.17,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Dedryck Boyata,Belgium,DF,27,1990,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Dries Mertens,Belgium,FW,31,1987,3.3,1,7,4,57.1,2.11,1.21,0.14,0.25,0,0
INT-World Cup,2018,Belgium,Eden Hazard,Belgium,FW,27,1991,5.7,3,17,6,35.3,2.96,1.04,0.12,0.33,1,1
INT-World Cup,2018,Belgium,Jan Vertonghen,Belgium,DF,31,1987,6.0,1,2,2,100.0,0.33,0.33,0.5,0.5,0,0
INT-World Cup,2018,Belgium,Kevin De Bruyne,Belgium,"MF,FW",26,1991,6.0,1,13,4,30.8,2.17,0.67,0.08,0.25,0,0
INT-World Cup,2018,Belgium,Leander Dendoncker,Belgium,DF,23,1995,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Marouane Fellaini,Belgium,MF,30,1987,3.5,1,5,1,20.0,1.42,0.28,0.2,1.0,0,0
INT-World Cup,2018,Belgium,Michy Batshuayi,Belgium,FW,24,1993,1.3,1,8,4,50.0,6.32,3.16,0.13,0.25,0,0
INT-World Cup,2018,Belgium,Mousa Dembélé,Belgium,MF,30,1987,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Nacer Chadli,Belgium,MF,28,1989,3.6,1,3,2,66.7,0.83,0.55,0.33,0.5,0,0
INT-World Cup,2018,Belgium,Romelu Lukaku,Belgium,FW,25,1993,5.3,4,13,5,38.5,2.47,0.95,0.31,0.8,0,0
INT-World Cup,2018,Belgium,Thibaut Courtois,Belgium,GK,26,1992,7.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Thomas Meunier,Belgium,MF,26,1991,5.0,1,6,3,50.0,1.2,0.6,0.17,0.33,0,0
INT-World Cup,2018,Belgium,Thomas Vermaelen,Belgium,DF,32,1985,1.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Belgium,Thorgan Hazard,Belgium,MF,25,1993,1.1,0,3,0,0.0,2.76,0.0,0.0,,0,0
INT-World Cup,2018,Belgium,Toby Alderweireld,Belgium,DF,29,1989,6.0,0,5,1,20.0,0.83,0.17,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Vincent Kompany,Belgium,DF,32,1986,4.2,0,4,1,25.0,0.95,0.24,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Yannick Carrasco,Belgium,MF,24,1993,2.6,0,6,4,66.7,2.27,1.51,0.0,0.0,0,0
INT-World Cup,2018,Belgium,Youri Tielemans,Belgium,"MF,FW",21,1997,2.0,0,4,1,25.0,2.05,0.51,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Alisson,Brazil,GK,25,1992,5.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Casemiro,Brazil,MF,26,1992,3.7,0,4,2,50.0,1.09,0.55,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Danilo,Brazil,DF,26,1991,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Douglas Costa,Brazil,"FW,MF",27,1990,0.9,0,4,3,75.0,4.62,3.46,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Fagner,Brazil,DF,29,1989,4.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Fernandinho,Brazil,MF,33,1985,1.8,0,3,0,0.0,1.71,0.0,0.0,,0,0
INT-World Cup,2018,Brazil,Filipe Luís,Brazil,DF,32,1985,1.9,0,1,1,100.0,0.53,0.53,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Gabriel Jesus,Brazil,FW,21,1997,4.5,0,9,1,11.1,2.0,0.22,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Marcelo,Brazil,DF,30,1988,3.1,0,5,2,40.0,1.61,0.65,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Marquinhos,Brazil,"DF,MF",24,1994,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Miranda,Brazil,DF,33,1984,5.0,0,1,0,0.0,0.2,0.0,0.0,,0,0
INT-World Cup,2018,Brazil,Neymar,Brazil,MF,26,1992,5.0,2,26,13,50.0,5.2,2.6,0.08,0.15,0,0
INT-World Cup,2018,Brazil,Paulinho,Brazil,MF,29,1988,3.9,1,6,3,50.0,1.55,0.77,0.17,0.33,0,0
INT-World Cup,2018,Brazil,Philippe Coutinho,Brazil,MF,26,1992,4.8,2,23,8,34.8,4.77,1.66,0.09,0.25,0,0
INT-World Cup,2018,Brazil,Renato Augusto,Brazil,MF,30,1988,0.6,1,3,2,66.7,5.09,3.4,0.33,0.5,0,0
INT-World Cup,2018,Brazil,Roberto Firmino,Brazil,"FW,MF",26,1991,0.9,1,7,2,28.6,7.41,2.12,0.14,0.5,0,0
INT-World Cup,2018,Brazil,Thiago Silva,Brazil,DF,33,1984,5.0,1,7,1,14.3,1.4,0.2,0.14,1.0,0,0
INT-World Cup,2018,Brazil,Willian,Brazil,MF,29,1988,4.0,0,5,2,40.0,1.25,0.5,0.0,0.0,0,0
INT-World Cup,2018,Colombia,Abel Aguilar,Colombia,MF,33,1985,0.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Carlos Bacca,Colombia,FW,31,1986,1.0,0,2,0,0.0,1.91,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Carlos Sánchez,Colombia,MF,32,1986,1.9,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Cristián Zapata,Colombia,DF,31,1986,0.1,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,David Ospina,Colombia,GK,29,1988,4.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Davinson Sánchez,Colombia,DF,22,1996,4.3,0,2,0,0.0,0.46,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,James Rodríguez,Colombia,MF,26,1991,1.7,0,3,0,0.0,1.78,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Jefferson Lerma,Colombia,MF,23,1994,2.0,0,1,0,0.0,0.51,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Johan Mojica,Colombia,DF,25,1992,4.3,0,1,0,0.0,0.23,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,José Izquierdo,Colombia,MF,25,1992,0.8,0,0,0,,0.0,0.0,,,0,0
