,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
league,season,team,player,,,,,,,,,,,,,,,
INT-World Cup,2014,Belgium,Nacer Chadli,Belgium,"FW,MF",24,1989,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Nicolas Lombaerts,Belgium,DF,29,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Romelu Lukaku,Belgium,FW,21,1993,1.9,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Steven Defour,Belgium,MF,26,1988,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Thibaut Courtois,Belgium,GK,22,1992,5.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Thomas Vermaelen,Belgium,DF,28,1985,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Toby Alderweireld,Belgium,DF,25,1989,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Vincent Kompany,Belgium,DF,28,1986,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Anel Hadžić,Bosnia & Herz.,"DF,MF",24,1989,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Asmir Begović,Bosnia & Herz.,GK,26,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Avdija Vršajević,Bosnia & Herz.,"DF,MF",28,1986,1.0,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Edin Džeko,Bosnia & Herz.,FW,28,1986,2.9,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Edin Višća,Bosnia & Herz.,"DF,FW",24,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Emir Spahić,Bosnia & Herz.,DF,33,1980,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Ermin Bičakčić,Bosnia & Herz.,DF,24,1990,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Haris Medunjanin,Bosnia & Herz.,MF,29,1985,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Izet Hajrović,Bosnia & Herz.,MF,22,1991,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Mensur Mujdža,Bosnia & Herz.,"DF,MF",30,1984,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Miralem Pjanić,Bosnia & Herz.,MF,24,1990,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Muhamed Bešić,Bosnia & Herz.,"DF,MF",21,1992,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Ognjen Vranješ,Bosnia & Herz.,DF,24,1989,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Sead Kolašinac,Bosnia & Herz.,"DF,MF",20,1993,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Sejad Salihović,Bosnia & Herz.,"DF,MF",29,1984,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Senad Lulić,Bosnia & Herz.,"DF,MF",28,1986,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Tino-Sven Sušić,Bosnia & Herz.,MF,22,1992,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Toni Šunjić,Bosnia & Herz.,DF,25,1988,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Vedad Ibišević,Bosnia & Herz.,FW,29,1984,1.6,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Zvjezdan Misimović,Bosnia & Herz.,MF,32,1982,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Bernard,Brazil,"FW,MF",21,1992,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Dani Alves,Brazil,"DF,MF",31,1983,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Dante,Brazil,DF,30,1983,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,David Luiz,Brazil,"DF,MF",27,1987,7.3,2,,,,,,,,0,0
INT-World Cup,2014,Brazil,Fernandinho,Brazil,"DF,MF",29,1985,3.3,1,,,,,,,,0,0
INT-World Cup,2014,Brazil,Fred,Brazil,FW,30,1983,5.2,1,,,,,,,,0,0
INT-World Cup,2014,Brazil,Henrique,Brazil,DF,27,1986,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Hernanes,Brazil,MF,29,1985,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Hulk,Brazil,"FW,MF",27,1986,4.4,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Jô,Brazil,FW,27,1987,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Júlio César,Brazil,GK,34,1979,7.3,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Luiz Gustavo,Brazil,"DF,MF",26,1987,5.8,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Maicon Sisenando,Brazil,DF,32,1981,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Marcelo,Brazil,"DF,MF",26,1988,6.3,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Maxwell,Brazil,DF,32,1981,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Neymar,Brazil,"FW,MF",22,1992,5.0,4,,,,,,,,1,1
INT-World Cup,2014,Brazil,Oscar,Brazil,"FW,MF",22,1991,7.1,2,,,,,,,,0,0
INT-World Cup,2014,Brazil,Paulinho,Brazil,MF,25,1988,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Ramires,Brazil,MF,27,1987,2.8,0,,,,,,,,0,0
INT-World Cup,2014,Brazil,Thiago Silva,Brazil,DF,29,1984,6.3,1,,,,,,,,0,0
INT-World Cup,2014,Brazil,Willian,Brazil,"FW,MF",25,1988,1.7,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Alexandre Song,Cameroon,"DF,MF",26,1987,1.3,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Allan Nyom,Cameroon,"DF,MF",26,1988,1.0,0,,,,,,,,0,0
