,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
league,season,team,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Germany,20,27.2,72.0,3,33,270,3.0,2,2,4,2,0,0,4,1,0.67,0.67,1.33,0.67,1.33,/en/squads/c1e40422/2018/Germany-Men-Stats
INT-World Cup,2018,IR Iran,16,26.2,28.3,3,33,270,3.0,1,0,1,0,1,1,7,0,0.33,0.0,0.33,0.0,0.0,/en/squads/6a08f71e/2018/IR-Iran-Men-Stats
INT-World Cup,2018,Iceland,18,30.0,33.3,3,33,270,3.0,2,0,2,1,1,2,3,0,0.67,0.0,0.67,0.33,0.33,/en/squads/f51a42e5/2018/Iceland-Men-Stats
INT-World Cup,2018,Japan,18,29.2,53.0,4,44,360,4.0,6,5,11,5,1,1,5,0,1.5,1.25,2.75,1.25,2.5,/en/squads/ffcf1690/2018/Japan-Men-Stats
INT-World Cup,2018,Korea Republic,19,27.1,37.3,3,33,270,3.0,3,2,5,3,0,0,10,0,1.0,0.67,1.67,1.0,1.67,/en/squads/473f0fbf/2018/Korea-Republic-Men-Stats
INT-World Cup,2018,Mexico,19,27.8,53.0,4,44,360,4.0,3,2,5,2,1,1,9,0,0.75,0.5,1.25,0.5,1.0,/en/squads/b009a548/2018/Mexico-Men-Stats
INT-World Cup,2018,Morocco,19,28.6,48.3,3,33,270,3.0,2,1,3,2,0,0,8,0,0.67,0.33,1.0,0.67,1.0,/en/squads/af41ccda/2018/Morocco-Men-Stats
INT-World Cup,2018,Nigeria,16,24.8,46.3,3,33,270,3.0,3,2,5,2,1,1,4,0,1.0,0.67,1.67,0.67,1.33,/en/squads/10abc743/2018/Nigeria-Men-Stats
INT-World Cup,2018,Panama,20,28.3,36.7,3,33,270,3.0,1,1,2,1,0,0,11,0,0.33,0.33,0.67,0.33,0.67,/en/squads/6061a82d/2018/Panama-Men-Stats
INT-World Cup,2018,Peru,17,27.5,50.3,3,33,270,3.0,2,1,3,2,0,1,5,0,0.67,0.33,1.0,0.67,1.0,/en/squads/f711c854/2018/Peru-Men-Stats
INT-World Cup,2018,Poland,21,27.6,50.7,3,33,270,3.0,2,2,4,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33,/en/squads/8912dcf0/2018/Poland-Men-Stats
INT-World Cup,2018,Portugal,18,28.3,54.8,4,44,360,4.0,6,4,10,5,1,2,7,0,1.5,1.0,2.5,1.25,2.25,/en/squads/4a1b4ea8/2018/Portugal-Men-Stats
INT-World Cup,2018,Russia,19,28.8,37.4,5,55,510,5.7,10,8,18,9,1,1,8,1,1.76,1.41,3.18,1.59,3.0,/en/squads/21ced9fe/2018/Russia-Men-Stats
INT-World Cup,2018,Saudi Arabia,20,28.1,59.0,3,33,270,3.0,2,1,3,1,1,2,1,0,0.67,0.33,1.0,0.33,0.67,/en/squads/6e84edac/2018/Saudi-Arabia-Men-Stats
INT-World Cup,2018,Senegal,18,26.0,41.0,3,33,270,3.0,3,1,4,3,0,0,6,0,1.0,0.33,1.33,1.0,1.33,/en/squads/9ab5c684/2018/Senegal-Men-Stats
INT-World Cup,2018,Serbia,18,27.9,42.7,3,33,270,3.0,2,1,3,2,0,0,9,0,0.67,0.33,1.0,0.67,1.0,/en/squads/1d6f5c9b/2018/Serbia-Men-Stats
INT-World Cup,2018,Spain,17,28.9,74.0,4,44,390,4.3,6,3,9,6,0,0,2,0,1.38,0.69,2.08,1.38,2.08,/en/squads/b561dd30/2018/Spain-Men-Stats
INT-World Cup,2018,Sweden,19,28.5,37.6,5,55,450,5.0,5,3,8,3,2,2,8,0,1.0,0.6,1.6,0.6,1.2,/en/squads/296f69e7/2018/Sweden-Men-Stats
INT-World Cup,2018,Switzerland,17,27.4,59.0,4,44,360,4.0,5,4,9,5,0,0,9,0,1.25,1.0,2.25,1.25,2.25,/en/squads/81021a70/2018/Switzerland-Men-Stats
INT-World Cup,2018,Tunisia,23,26.2,52.3,3,33,270,3.0,5,4,9,4,1,1,4,0,1.67,1.33,3.0,1.33,2.67,/en/squads/a7c7562a/2018/Tunisia-Men-Stats
